,Title,File Type,Last Modified Date,Description,URL
40,COTA Unlinked Passenger Trips Data for Saturday - January Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/8d6fc5c8_5027_4ca4_8c4c_ad529fd6bf43
41,COTA Unlinked Passenger Trips Data for Saturday - January Trimester 2019,CSV,"Sep 3, 2019 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/317e3411_f843_4b29_b309_79689cc26c82
42,COTA Unlinked Passenger Trips Data for Saturday - May Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/a89e205c_3ee5_4eb4_948c_ea57e7eea587
43,COTA Unlinked Passenger Trips Data for Saturday - May Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/ca15d2c7_c10a_4874_9716_bd46e35b51e3
44,COTA Unlinked Passenger Trips Data for Saturday - September Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/6c707700_ac43_44e5_ac15_b288b7df3cfe
45,COTA Unlinked Passenger Trips Data for Saturday - September Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/377b0f92_1634_4c73_bd3a_36714b073af6
46,COTA Unlinked Passenger Trips Data for Sunday - January Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/38195886_0c0e_4fb3_a8cb_736d33c48328
47,COTA Unlinked Passenger Trips Data for Sunday - January Trimester 2019,CSV,"Sep 3, 2019 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/f6aba606_71c2_4e07_9fd7_36bbf6dfbae9
48,COTA Unlinked Passenger Trips Data for Sunday - May Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/8819971a_eabc_40c4_88ad_77df9c8a8a5c
49,COTA Unlinked Passenger Trips Data for Sunday - May Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/71b25c98_4872_4299_b201_a23610e4e217
50,COTA Unlinked Passenger Trips Data for Sunday - September Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/b059a016_2cfd_4c87_80ca_434dc24b1d85
51,COTA Unlinked Passenger Trips Data for Sunday - September Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/7a45c1d2_87cd_4f42_837c_39aba7b4ef60
52,COTA Unlinked Passenger Trips Data for Weekday - January Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/f3e584a0_5fb8_4a14_91ff_e724889b722f
53,COTA Unlinked Passenger Trips Data for Weekday - January Trimester 2019,CSV,"Sep 3, 2019 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/601d7cf2_82d9_4a66_8f37_fff5392ab617
54,COTA Unlinked Passenger Trips Data for Weekday - May Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/c352378a_067f_4ac6_9654_f2dc761c3bf1
55,COTA Unlinked Passenger Trips Data for Weekday - May Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/df3ab75b_b07f_4efb_bac8_e3b17a05cce5
56,COTA Unlinked Passenger Trips Data for Weekday - September Trimester 2017,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/10798e00_9714_4fd1_a752_4182ca0cff92
57,COTA Unlinked Passenger Trips Data for Weekday - September Trimester 2018,CSV,"Apr 30, 2018 (Last updated by provider)","This dataset identifies unlinked passenger trips of COTA riders at all bus stops in Central Ohio. These onboarding and alighting counts are computed through ""Automatic Passenger Counters"" (APCs) that detect passengers when they enter and ex...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/3259d163_3af3_4df0_9d7e_9292ed27ef08
58,Crash Data for Delaware County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Delaware county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/68cb466d_6f16_4b84_b5b2_f518b69823ef
59,Crash Data for Delaware County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Delaware county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/67386a56_23a6_458b_b998_e63ae6794eb5
60,Crash Data for Fairfield County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Fairfield county from January 2015 to December 2017.,https://discovery.smartcolumbusos.com/dataset/odot/0e6fceb2_b7c9_4425_bfff_3af2025f159d
61,Crash Data for Fairfield County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Fairfield county from January 2015 to December 2017.,https://discovery.smartcolumbusos.com/dataset/odot/9054b16c_26bd_40f5_be50_a3cf2ff6bcb3
62,Crash Data for Franklin County 2015-2017,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Franklin county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/2ffa6cac_b2e3_4459_a77d_f5ec70b978cc
63,Crash Data for Franklin County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Franklin county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/6d34ef80_6d25_4e99_b459_8b10b5566186
64,Crash Data for Licking County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Licking county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/eced496d_b468_4841_986e_d0c06390d028
65,Crash Data for Licking County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Licking county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/0267cf16_b73f_4ae4_b1a9_1fcfe68a1cbc
66,Crash Data for Madison County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Madison county from January 2015 to December 2017.,https://discovery.smartcolumbusos.com/dataset/odot/5eb37c3a_d039_4ed6_92c0_31ef9edeb603
67,Crash Data for Madison County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Madison county from January 2015 to December 2017.,https://discovery.smartcolumbusos.com/dataset/odot/0d789573_8a55_4c66_b3ff_81e9d9514d8f
68,Crash Data for Pickaway County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Pickaway county from January 2014 to December 2016,https://discovery.smartcolumbusos.com/dataset/odot/95749a2a_69e4_4396_8d9c_84eae8297a4d
69,Crash Data for Union County 2015-2017 -- Crash Type Data Dictionary,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Union county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/74b913a1_6028_4a84_9472_0fd906cd6dbd
70,Crash Data for Union County 2015-2017 -- Merged,CSV,Date not provided (Last updated by provider),This is the crash data extracted from ODOT's GCAT dataset. This covers crash data for Union county from January 2015 to December 2017,https://discovery.smartcolumbusos.com/dataset/odot/f592ca68_e4c5_4121_a4aa_a446fef3c62c
71,Culvert Inventory -- Status Filter,CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/odot/d5678a98_c1af_4fa9_8fd8_b8d853cec83e
72,Dense and Vulnerable Senior Populations,CSV,"Feb 28, 2015 (Last updated by provider)",This dataset identifies the concentrates of vulnerable senior populations throughout Central Ohio,https://discovery.smartcolumbusos.com/dataset/kirwan_institute/afa22fa0_bbce_4d11_b830_50badf17c587
73,Dense and Vulnerable Senior Populations -- Index Colors,CSV,"Feb 28, 2015 (Last updated by provider)",This dataset identifies the concentrates of vulnerable senior populations throughout Central Ohio,https://discovery.smartcolumbusos.com/dataset/kirwan_institute/ddc366d4_eb2b_4b31_928f_a9e8b5c1a42f
74,Disability Characteristics - Central Ohio 2016 -- ACS_16_5YR_S1810_with_ann,CSV,"May 2, 2018 (Last updated by provider)","This dataset identifies the disability characteristics data per each census tract for Central Ohio region. This dataset is for year 2016. Disabilities include hearing, vision, cognitive, ambulatory, self-care, and independent living diff...",https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/f2d0eeb5_b1c9_4781_bfae_3084157013af
75,Disability Status of Grandparents responsible for their grandchildren - Central Ohio 2016 -- ACS_16_5YR_B10052_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the disability status of grandparents who has responsibility for their grandchildren. This data is available at census tract level for Central Ohio region. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/6e4a30f4_913b_4453_a899_27a6d3b7ba3c
76,Farmers Markets Particpating in Produce Perks -- Locations Central Ohio,CSV,"Jun 4, 2018 (Last updated by provider)",This dataset identifies the details of the farmers markets that participate in the produce perks program.,https://discovery.smartcolumbusos.com/dataset/produce_perks/b82841ab_50c2_4d2b_9413_d99dbf60175f
77,Food Deserts data for the United States,CSV,"May 17, 2017 (Last updated by provider)","This dataset identifies the food deserts in the U.S., which includes the regions with low/limited access to food base don resident income levels and transportation availability.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/806c210e_611a_455c_8297_efb596f37f83
78,Food Deserts data for the United States -- Data Dictionary,CSV,"May 17, 2017 (Last updated by provider)","This dataset identifies the food deserts in the U.S., which includes the regions with low/limited access to food base don resident income levels and transportation availability.",https://discovery.smartcolumbusos.com/dataset/us_dept_agriculture/e493d0d8_83d4_46f8_b4a0_d4607eb696f9
79,Food Pantry and User Data -- age code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/50c1f947_fa7e_4be7_a039_284ff4e72db8
80,Food Pantry and User Data -- agency,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/6425f64b_f162_4cd4_b271_5038b6752df5
81,Food Pantry and User Data -- agency alt name,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/bcc5ca3b_0386_46a3_bd4a_6f7cc8f67e76
82,Food Pantry and User Data -- agency consolidated,CSV,"May 7, 2018 (Last updated by provider)","This consolidated data combines agency, agency_service and service_taxonomy datasets to provide the ability to filter agencies (id's) based on particular services they offer.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/agency_consolidated
83,Food Pantry and User Data -- agency location,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/570a8e02_fb0e_4cee_895b_3b32bd740650
84,Food Pantry and User Data -- agency service,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/49b19dab_a7a8_4049_add2_7a0a1f0cce07
85,Food Pantry and User Data -- agency unsatisfied code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/1c27d01e_c5d0_4686_91ec_628f7672d133
86,Food Pantry and User Data -- call status code,CSV,"May 7, 2018 (Last updated by provider)","This dataset identifies locations of food pantry service providers, food insecure people concentrations, and seasonal service demand variability.",https://discovery.smartcolumbusos.com/dataset/handson_central_ohio/d625e17f_ec08_4c22_b93f_f12f61af26d5
